# Open,High,Low,Volume,Close
4000,4100,3960,69795000,0.059757
4100,4190,4030,52470000,0.060202
4120,4120,3940,57535000,0.059905
3840,3880,3760,41120000,0.056495
3700,3950,3590,82635000,0.057681
4020,4080,3940,62745000,0.058422
3800,3900,3760,54935000,0.057829
3820,3840,3680,63195000,0.054715
3700,3810,3590,62145000,0.05427
3450,3460,3210,103605000,0.047746
3140,3280,3140,79535000,0.04656
3000,3090,2830,115295000,0.044929
2980,3080,2730,65300000,0.040629
2540,2760,2420,164215000,0.04048
2730,3050,2690,137720000,0.043001
3240,3330,3190,118825000,0.049377
3490,3520,3160,139960000,0.04745
3180,3420,3100,97115000,0.049526
3200,3260,3130,68730000,0.047598
2930,3030,2740,133290000,0.042853
2800,2880,2720,36830000,0.040777
2750,2850,2630,63190000,0.04226
3000,3270,2960,94165000,0.048339
3200,3430,3170,123180000,0.049229
3420,3470,3370,80420000,0.051008
3460,3670,3380,71865000,0.052046
3460,3550,3380,53740000,0.051008
3400,3460,3280,58215000,0.050563
3300,3430,3260,52305000,0.050415
3360,3440,3320,35140000,0.050119
3220,3260,3100,51070000,0.046708
3210,3320,3210,31755000,0.048784
3450,3460,3320,55720000,0.050267
3400,3420,3250,37420000,0.048636
3180,3230,3150,36225000,0.047746
3160,3210,3100,26795000,0.045967
3080,3170,2970,51620000,0.046856
3100,3220,3080,37710000,0.04656
3140,3260,3140,44645000,0.047598
3310,3400,3270,45530000,0.050415
3600,3800,3570,100220000,0.05605
3650,3650,3500,59770000,0.052195
3300,3350,3200,54300000,0.047746
3220,3290,3150,63315000,0.048043
3080,3220,3040,96425000,0.047153
3220,3250,3080,51875000,0.045967
3160,3250,3120,58400000,0.048043
3410,3430,3210,95890000,0.047598
3210,3260,3160,43020000,0.048339
3260,3390,3260,47575000,0.04997
3480,3630,3480,70575000,0.053084
3580,3650,3500,73745000,0.051898
3500,3780,3500,84140000,0.05605
3620,3680,3560,66965000,0.053677
3620,3640,3480,52960000,0.05175
3500,3590,3490,34350000,0.052788
3560,3570,3510,25445000,0.052343
3420,3450,3320,53675000,0.049526
